apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
com.giraffegames.tabletennis,True,United States,dp_clause,False,True,True,False,False
com.uken.pool,True,United States,dp_clause,False,True,True,False,False
com.wsandroid.suite,True,United States,dp_clause,False,True,True,False,False
com.wsandroid.suite.metropcs,True,United States,dp_clause,False,True,True,False,False
com.wsandroid.suite.tmobile,True,United States,dp_clause,False,True,True,False,False
com.giraffegames.realvolleyball,True,United States,dp_clause,False,True,True,False,False
com.doubletapsoftware.kickreturngame,True,United States,dp_clause,False,True,True,False,False
com.brycesummer.swipeskate,True,United States,dp_clause,False,True,True,True,True
com.hotheadgames.google.free.bigwinstockcar,True,United States,dp_clause,False,True,True,False,False
com.soccermanagerltd.soccermanager2020,True,United States,dp_clause,False,False,True,True,False
com.dmw.MiniGolf2,True,United States,dp_clause,False,True,True,False,False
com.hotheadgames.google.free.bigwinbasketball,True,United States,dp_clause,False,True,True,False,False
com.giraffegames.pool,True,United States,dp_clause,False,True,True,False,False
com.giraffegames.bocce,True,United States,dp_clause,False,True,True,False,False
com.gaminho.idleelevenfootball,True,United States,dp_clause,False,True,True,False,False
com.miniclip.archery,True,United States,dp_clause,False,True,True,False,False
com.standylan.dunkhit,True,United States,dp_clause,False,True,True,False,False
com.reludo.shootingrangechallenge,True,United States,dp_clause,False,True,True,False,False
com.SpokoGames.FiveHoops,True,United States,dp_clause,False,True,True,False,False
com.allenmm.archery,True,United States,dp_clause,False,False,True,True,False
com.billiards.shooting.ball.pool,True,United States,dp_clause,False,False,True,True,False
com.ball.pool.nation.billiards,True,United States,dp_clause,False,False,True,True,False
com.doubletapsoftware.basketballbattle,True,United States,dp_clause,False,True,True,False,False
com.pnixgames.bowlingking,True,United States,dp_clause,False,True,True,False,False
games.onebutton.golfbattle,True,United States,dp_clause,False,True,True,False,False
com.levelzed.waterjump,True,United States,dp_clause,False,True,True,False,False
com.billiards.city.pool.nation.club,True,United States,dp_clause,False,False,True,True,False
com.motionvolt.flipbounce,True,United States,dp_clause,False,True,True,False,False
com.malvo.baseball,True,United States,dp_clause,False,True,True,False,False
com.inpoly.lowpoly.polyart.puzzle,True,United States,dp_clause,False,True,True,True,True
bubble.shooter.shooting.shoot.game,True,United States,dp_clause,False,False,True,True,False
online.pockethelix.app,True,United States,dp_clause,False,True,True,False,False
com.yunbu.puppy.blast.crush.free,True,United States,dp_clause,False,True,True,True,True
com.kwalee.crazyshopping,True,United States,dp_clause,False,False,True,True,False
com.panda.likerro,True,Russia,dp_clause,False,True,True,False,False
com.iw.android.luckyplinko2,True,United States,dp_clause,False,True,True,False,False
com.ihappydate,True,United States,dp_clause,False,True,True,False,False
com.ihappydate,True,Russia,dp_clause,False,True,True,False,False
